UPRN,Address,Area,Postcode,Building Type,Building height 
2558331338,West Gates Wisborough Green,Waltham Forest,LL65 3DG,Social Housing ,45.0
3255516675,3 West View Gardens Yapton,Waltham Forest,TQ2 8NJ,Social Housing ,34.0
2760127191,15 East Cliff Road Dawlish,Waltham Forest,CV21 9TG,Buisness ,36.0
1330819390,8 Danbury Court Linford Wood,Waltham Forest,S43 4FA,Buisness ,27.0
5127307244,5 Brampton Place North Shields,Waltham Forest,B93 8PW,Buisness ,43.0
2022710681,Flat 5 Buckingham Street,Waltham Forest,NW9 8AH,Buisness ,36.0
4878317288,44 Apsley Court Crawley,Waltham Forest,LN9 5HD,Buisness ,45.0
3333225359,Transformer Chamber The Switch Centre,Redbridge,HU8 9DQ,Buisness ,32.0
6146767836,Flat 9 Amis Walk,Redbridge,M13 0PZ,Buisness ,26.0
3332288200,19 Malstone Avenue Stoke-On-Trent,Redbridge,WV2 3LQ,Buisness ,21.0
2708112660,Georgian House Broad Street,Redbridge,SY8 1AX,Buisness ,26.0
8069464864,23 Parkside Drive Edgware,Redbridge,RH14 9ZS,Private,20.0
8024408139,27 Broom Water Teddington,Redbridge,AB45 2LE,Private,41.0
8522512385,34 Uplands Drive Chelmsford,Redbridge,LE2 1BH,Private,20.0
1647413652,16 Albany Road Lymm,Redbridge,S81 7RS,Private,38.0
3929207707,8 Blossom Walk Hatton,Redbridge,SW16 4SF,Private,23.0
5276518795,Flat 5 Glencathara House,Redbridge,BT15 4AQ,Private,35.0
4085022546,Lindthorpe Buxton Road,Redbridge,SL5 9TA,Private,25.0
4083646991,1 Haweswater Terrace Shap,Redbridge,TW3 9WU,Private,27.0
6538628601,1 Walkington Road Little Weighton,Redbridge,WA14 1JG,Private,43.0
4576283950,Wintersweet West Putford,Redbridge,DT3 5LF,Private,39.0
1538013484,18 Burdon Drive Bartestree,Redbridge,S41 0RX,Private,45.0
1723170814,The Cottage Herringby,Redbridge,SA44 5PJ,Private,21.0
2585003831,202 Nottingham Road Borrowash,Redbridge,RG7 2NY,Private,26.0
2208268926,28 Belton Road Stanground,Redbridge,PR8 1NF,Private,28.0
8887668798,4 Rhodfa'r Afon Mountain Ash,Redbridge,NG22 9TU,Social Housing,44.0
8617780360,2 Parksway Pendlebury,Redbridge,RM10 9YZ,Social Housing ,19.0
5805614609,Crossways Farmhouse Stoke St Gregory,Redbridge,SW2 4EL,Social Housing ,24.0
8304930953,4 Rope Crescent Crewe,Redbridge,SS14 1RS,Social Housing ,45.0
5489405789,27 Woodwell Road Bristol,Redbridge,EX10 0UA,Social Housing ,45.0
7087730490,19 Lupus Way Great Sutton,Redbridge,RG24 9AQ,Buisness ,39.0
8503836462,2 Francis Court Summerhill Road,Redbridge,PH1 0BN,Buisness ,31.0
9328008936,Pondtail House Horsted Pond Lane,Enfield ,LE3 6NZ,Buisness ,39.0
6206718195,2 Bexwell Cottage Bexwell,Enfield ,OX14 2BS,Buisness ,28.0
4444904522,4 Hurst Crescent Rawtenstall,Enfield ,BA6 8JY,Buisness ,19.0
7346203988,16 Ferris Place Bournemouth,Enfield ,M33 7SY,Buisness ,37.0
8154028142,8 Caister Road Great Yarmouth,Enfield ,TD1 3HL,Buisness ,35.0
836011171,14 Geary Drive Brentwood,Enfield ,LA2 9LD,Buisness ,43.0
6683319997,8 Acme Terrace Wakefield,Enfield ,SW17 9TB,Buisness ,42.0
2219540031,Henfield Cottage Vicarage Lane,Enfield ,TQ10 9BL,Private,29.0
4628918194,Potshead Hall The Street,Enfield ,CF32 9BU,Private,36.0
120800565,81 Clapham Common North Side Clapham,Enfield ,DN36 4NS,Private,38.0
2027121620,1 The Gardens Bucks Cross Road,Enfield ,ME10 2GF,Private,17.0
586901602,5 Llys Puw Velindre,Enfield ,RG27 8NB,Private,28.0
8171881187,638 Bristol Road South Northfield,Enfield ,CW12 3AA,Private,40.0
6518006469,24 Lonsdale Road Etwall,Enfield ,BL5 1FL,Private,42.0
2608529225,4 Threeways Downderry,Enfield ,OL3 5DT,Private,19.0
3175142180,47 Long Ing Lane Barnoldswick,Enfield ,SO51 6GD,Social Housing ,20.0
7033159821,6 Talwrn Road Pentraeth,Enfield ,BN1 3AA,Social Housing ,41.0
602799294,Ty'r Ysgol Llandyfrydog,Enfield ,PO9 3AL,Social Housing ,34.0
4689910202,90 Rilstone Road Birmingham,Enfield ,DA9 9XQ,Social Housing ,39.0
6855303145,Chestnuts The Green,Enfield ,YO21 3UJ,Social Housing ,38.0
8544235577,5 Princess Crescent Dewsbury,Enfield ,AB42 5AL,Buisness ,44.0
2606564739,52 Sandholes Close Portland,Enfield ,SR2 0TE,Buisness ,20.0
645221108,18 Argyle Road Clevedon,Enfield ,SO15 3HW,Buisness ,36.0
9539843729,4 The Greenway Oxted,Enfield ,HR6 8RR,Buisness ,42.0
9242257679,Spring Cottage Summers Lane,Enfield ,NE23 1TR,Buisness ,42.0
2375031162,29 Ashdown Walk Romford,Enfield ,N2 0UL,Buisness ,45.0
8476510171,23 Cavendish Avenue Colchester,Enfield ,SS8 0ND,Buisness ,39.0
8117885902,Hawkers Farm Tirley,Enfield ,KT9 2BQ,Buisness ,18.0
3503134292,60 Minsthorpe Lane South Elmsall,Waltham Forest,SN13 8PZ,Buisness ,26.0
410460737,3 Quartermain Road Chalgrove,Waltham Forest,SN5 5NZ,Private,44.0
1660997939,118 Station Road Chinnor,Waltham Forest,DN20 0DY,Private,23.0
4281192222,4 Richardson Close Winston,Waltham Forest,HG5 9NJ,Private,27.0
3279728057,6 Hodwell Ashwell,Waltham Forest,ME15 6DU,Private,33.0
3423037531,2 Edgehill Upper Edgeborough Road,Waltham Forest,WA9 4RE,Private,18.0
9703451308,53 Granby Court Bletchley,Waltham Forest,KA11 3BU,Private,35.0
5259515323,7 Kirkby Street Lincoln,Waltham Forest,CV32 7XB,Private,23.0
4812992747,253 Lodge Avenue Dagenham,Waltham Forest,NG10 3PL,Private,16.0
5462185445,Bluebell Cottage Abbey Lane,Waltham Forest,BH12 1EB,Social Housing ,22.0
3207144642,2 St Marys Cottage Steeple Lane Beaumaris,Waltham Forest,PE21 1FX,Social Housing ,22.0
6184246592,Glandeg High Street,Waltham Forest,CH66 2NE,Social Housing ,40.0
9664638296,4 Queens Court Forest Town,Waltham Forest,PE14 9HJ,Social Housing ,24.0
7828536525,18 Frederick Close Bradford,Waltham Forest,WA13 0AS,Social Housing ,23.0
1074642144,1 Pococks Bank Hever,Waltham Forest,CM19 4BE,Buisness ,28.0
7633965613,Parc Yr Onnen Dyffryn Ardudwy,Waltham Forest,L27 5RG,Buisness ,30.0
3010058895,2 Hillside Cottages Broadway Road,Waltham Forest,BS1 2LX,Buisness ,28.0
7381620268,10 Usworth Hall Washington,Waltham Forest,PA11 3LS,Buisness ,35.0
3306971566,49 Llangattock Road Cardiff,Waltham Forest,DE14 2PQ,Buisness ,21.0
8384528574,Wren Park Bungalow Hitchin Road,Waltham Forest,EX12 2NN,Buisness ,27.0
3829762979,Refail Llannerch-Y-Medd,Waltham Forest,IP19 8JX,Buisness ,33.0
9557078804,Old Lodge Passfield,Waltham Forest,WR2 5AP,Buisness ,32.0
8986445979,4 High Oaks Langdon Hills,Waltham Forest,LL13 8RA,Buisness ,25.0
5589754202,Gladvic Farm Bungalow Main Road,Redbridge,CW8 3JR,Private,35.0
8746433815,1 The Park Watton At Stone,Redbridge,CM77 7UW,Private,17.0
4390313420,7 Collins Road Bewbush,Redbridge,HD9 2DR,Private,17.0
904477526,64 Fowler Road Coventry,Redbridge,DE15 0TE,Private,25.0
5856562005,1 Whitehall Gardens Calne,Redbridge,KY11 4PD,Private,36.0
2173011490,31 Great Stone Road Birmingham,Enfield ,IP3 8EL,Private,18.0
5810956761,Cyncoed Llanfihangel Ar Arth,Enfield ,SY17 5BY,Private,39.0
9331163087,107 Sankey Street Warrington,Enfield ,BR3 3NS,Private,41.0
9850580567,10 Carbona Close Callington,Enfield ,SK8 4BS,Social Housing ,33.0
2264822954,56 Wold Walk Birmingham,Waltham Forest,SA16 0DW,Social Housing ,16.0
3424408462,91 Addison Road West Boldon,Waltham Forest,SA62 3AQ,Social Housing ,37.0
9718257526,18 Coleraine Close Lincoln,Waltham Forest,FY5 2YA,Social Housing ,37.0
8874789092,Orchard House Banbury Lane,Waltham Forest,HG3 2YD,Social Housing ,27.0
8305796909,18 Cornwall Crescent Stockport,Waltham Forest,GL2 9DN,Buisness ,33.0
1932914707,177 Northway Sedgley,Redbridge,DE75 7GU,Buisness ,24.0
